century,period,dominant_color,count
1,'0-'5,#bda173,1.0
1,'5-'10,#dadbde,1.0
1,'10-'15,#7e7875,1.0
1,'15-'20,,
1,'20-'25,,
1,'25-'30,,
1,'30-'35,,
1,'35-'40,#7a5546,1.0
1,'40-'45,,
1,'45-'50,#d5d5d3,2.0
1,'50-'55,,
1,'55-'60,,
1,'60-'65,,
1,'65-'70,,
1,'70-'75,,
1,'75-'80,,
1,'80-'85,,
1,'85-'90,,
1,'90-'95,,
1,'95-'99,,
2,'0-'5,#fcce99,1.0
2,'5-'10,,
2,'10-'15,,
2,'15-'20,,
2,'20-'25,,
2,'25-'30,,
2,'30-'35,,
2,'35-'40,,
2,'40-'45,,
2,'45-'50,,
2,'50-'55,,
2,'55-'60,,
2,'60-'65,,
2,'65-'70,,
2,'70-'75,,
2,'75-'80,,
2,'80-'85,,
2,'85-'90,,
2,'90-'95,,
2,'95-'99,,
3,'0-'5,,
3,'5-'10,,
3,'10-'15,,
3,'15-'20,,
3,'20-'25,,
3,'25-'30,,
3,'30-'35,,
3,'35-'40,,
3,'40-'45,,
3,'45-'50,#7c7c7c,1.0
3,'50-'55,,
3,'55-'60,,
3,'60-'65,,
3,'65-'70,,
3,'70-'75,,
3,'75-'80,,
3,'80-'85,,
3,'85-'90,,
3,'90-'95,,
3,'95-'99,,
4,'0-'5,#282828,1.0
4,'5-'10,,
4,'10-'15,,
4,'15-'20,,
4,'20-'25,#e9d3b5,1.0
4,'25-'30,,
4,'30-'35,,
4,'35-'40,,
4,'40-'45,,
4,'45-'50,,
4,'50-'55,,
4,'55-'60,,
4,'60-'65,,
4,'65-'70,,
4,'70-'75,,
4,'75-'80,,
4,'80-'85,,
4,'85-'90,,
4,'90-'95,,
4,'95-'99,,
5,'0-'5,#ffffff,1.0
5,'5-'10,,
5,'10-'15,,
5,'15-'20,,
5,'20-'25,,
5,'25-'30,,
5,'30-'35,,
5,'35-'40,,
5,'40-'45,,
5,'45-'50,#515151,1.0
5,'50-'55,,
5,'55-'60,,
5,'60-'65,,
5,'65-'70,,
5,'70-'75,,
5,'75-'80,,
5,'80-'85,,
5,'85-'90,,
5,'90-'95,,
5,'95-'99,,
6,'0-'5,,
6,'5-'10,,
6,'10-'15,,
6,'15-'20,,
6,'20-'25,,
6,'25-'30,,
6,'30-'35,,
6,'35-'40,,
6,'40-'45,,
6,'45-'50,,
6,'50-'55,,
6,'55-'60,,
6,'60-'65,,
6,'65-'70,,
6,'70-'75,,
6,'75-'80,,
6,'80-'85,,
6,'85-'90,#bf9f84,1.0
6,'90-'95,,
6,'95-'99,,
7,'0-'5,,
7,'5-'10,,
7,'10-'15,,
7,'15-'20,#987b61,1.0
7,'20-'25,,
7,'25-'30,,
7,'30-'35,,
7,'35-'40,,
7,'40-'45,,
7,'45-'50,#bcb9a5,1.0
7,'50-'55,,
7,'55-'60,,
7,'60-'65,,
7,'65-'70,#aa8363,1.0
7,'70-'75,,
7,'75-'80,#c0b69a,1.0
7,'80-'85,,
7,'85-'90,,
7,'90-'95,,
7,'95-'99,,
8,'0-'5,#767676,1.0
8,'5-'10,,
8,'10-'15,,
8,'15-'20,,
8,'20-'25,,
8,'25-'30,,
8,'30-'35,#a3723d,1.0
8,'35-'40,,
8,'40-'45,,
8,'45-'50,#d2aa8c,1.0
8,'50-'55,,
8,'55-'60,,
8,'60-'65,,
8,'65-'70,,
8,'70-'75,#966d44,1.0
8,'75-'80,,
8,'80-'85,,
8,'85-'90,#ae8860,1.0
8,'90-'95,,
8,'95-'99,#5b4c3d,1.0
9,'0-'5,,
9,'5-'10,,
9,'10-'15,,
9,'15-'20,,
9,'20-'25,#a1755d,1.0
9,'25-'30,,
9,'30-'35,,
9,'35-'40,,
9,'40-'45,,
9,'45-'50,,
9,'50-'55,,
9,'55-'60,,
9,'60-'65,,
9,'65-'70,,
9,'70-'75,#9e8267,1.0
9,'75-'80,,
9,'80-'85,,
9,'85-'90,,
9,'90-'95,#5d5a55,1.0
9,'95-'99,,
10,'0-'5,#b19b7e,1.0
10,'5-'10,#6d5e40,1.0
10,'10-'15,,
10,'15-'20,,
10,'20-'25,,
10,'25-'30,,
10,'30-'35,,
10,'35-'40,,
10,'40-'45,,
10,'45-'50,,
10,'50-'55,,
10,'55-'60,#e0c09f,1.0
10,'60-'65,,
10,'65-'70,#6e5b43,1.0
10,'70-'75,#bb8a49,1.0
10,'75-'80,,
10,'80-'85,,
10,'85-'90,,
10,'90-'95,,
10,'95-'99,,
11,'0-'5,#8f7663,1.0
11,'5-'10,#343739,1.0
11,'10-'15,,
11,'15-'20,,
11,'20-'25,,
11,'25-'30,,
11,'30-'35,,
11,'35-'40,#937d6e,1.0
11,'40-'45,,
11,'45-'50,#71553a,1.0
11,'50-'55,,
11,'55-'60,,
11,'60-'65,,
11,'65-'70,#6c5b4b,1.0
11,'70-'75,#8f693b,1.0
11,'75-'80,#a7a4a1,1.0
11,'80-'85,#946c4f,1.0
11,'85-'90,#fffeff,1.0
11,'90-'95,,
11,'95-'99,,
12,'0-'5,#fffef1,1.0
12,'5-'10,#0f0f0f,1.0
12,'10-'15,,
12,'15-'20,#3c3856,1.0
12,'20-'25,#e5ded5,1.0
12,'25-'30,#705f4a,1.0
12,'30-'35,#dcc1a0,1.0
12,'35-'40,#8c7357,1.0
12,'40-'45,,
12,'45-'50,#ffffff,1.0
12,'50-'55,,
12,'55-'60,,
12,'60-'65,#917551,1.0
12,'65-'70,#b09781,1.0
12,'70-'75,#ebe4cf,1.0
12,'75-'80,#6e5840,1.0
12,'80-'85,#9d743c,1.0
12,'85-'90,#f1e4bf,1.0
12,'90-'95,#ac7a45,1.0
12,'95-'99,,
13,'0-'5,#fffeff,2.0
13,'5-'10,,
13,'10-'15,,
13,'15-'20,#5e4735,1.0
13,'20-'25,#8b6f5c,1.0
13,'25-'30,#efdfce,1.0
13,'30-'35,#b39e82,1.0
13,'35-'40,#000000,1.0
13,'40-'45,,
13,'45-'50,#f1e1d0,1.0
13,'50-'55,#bfbdc0,1.0
13,'55-'60,#c76b24,1.0
13,'60-'65,#bfbdc0,1.0
13,'65-'70,#fdfcfa,1.0
13,'70-'75,#9d8164,1.0
13,'75-'80,#d6a520,2.0
13,'80-'85,#e7ad62,1.0
13,'85-'90,#fffeff,3.0
13,'90-'95,#cb8959,2.0
13,'95-'99,#bfbdc0,2.0
14,'0-'5,#ffffff,4.0
14,'5-'10,#f3af6b,3.0
14,'10-'15,#fffeff,3.0
14,'15-'20,#ebcc9b,9.0
14,'20-'25,#d3b582,8.0
14,'25-'30,#fffeff,5.0
14,'30-'35,#fffeff,7.0
14,'35-'40,#ffffff,3.0
14,'40-'45,#fffeff,4.0
14,'45-'50,#fffeff,4.0
14,'50-'55,#fffeff,1.0
14,'55-'60,#fffeff,2.0
14,'60-'65,#ea5205,4.0
14,'65-'70,#ffffff,5.0
14,'70-'75,#ffffff,5.0
14,'75-'80,#fffeff,2.0
14,'80-'85,#b99e80,2.0
14,'85-'90,#fffeff,2.0
14,'90-'95,#dfdde0,2.0
14,'95-'99,#efd692,1.0
15,'0-'5,#fffeff,4.0
15,'5-'10,#fffeff,5.0
15,'10-'15,#dbd7c3,3.0
15,'15-'20,#fffeff,5.0
15,'20-'25,#ffffff,11.0
15,'25-'30,#ffffff,4.0
15,'30-'35,#fffeff,15.0
15,'35-'40,#fffeff,8.0
15,'40-'45,#ffffff,6.0
15,'45-'50,#ffffff,11.0
15,'50-'55,#fcfcfa,7.0
15,'55-'60,#fffeff,6.0
15,'60-'65,#ffffff,4.0
15,'65-'70,#ffffff,10.0
15,'70-'75,#fffeff,14.0
15,'75-'80,#ffffff,13.0
15,'80-'85,#ffffff,2.0
15,'85-'90,#ffffff,9.0
15,'90-'95,#ffffff,10.0
15,'95-'99,#ffffff,5.0
16,'0-'5,#ffffff,12.0
16,'5-'10,#ffffff,8.0
16,'10-'15,#ffffff,10.0
16,'15-'20,#ffffff,6.0
16,'20-'25,#ffffff,11.0
16,'25-'30,#ffffff,3.0
16,'30-'35,#fafafa,2.0
16,'35-'40,#fffdfe,2.0
16,'40-'45,#ffffff,2.0
16,'45-'50,#ffffff,12.0
16,'50-'55,#f2ede7,3.0
16,'55-'60,#fffeff,9.0
16,'60-'65,#fde8c7,2.0
16,'65-'70,#fffeff,2.0
16,'70-'75,#ffffff,3.0
16,'75-'80,#ffffff,9.0
16,'80-'85,#ffffff,5.0
16,'85-'90,#ffffff,7.0
16,'90-'95,#ded0c3,2.0
16,'95-'99,#fffeff,2.0
17,'0-'5,#ffffff,5.0
17,'5-'10,#ffffff,2.0
17,'10-'15,#ffffff,2.0
17,'15-'20,#ffffff,5.0
17,'20-'25,#ffffff,4.0
17,'25-'30,#ffffff,4.0
17,'30-'35,#ffffff,12.0
17,'35-'40,#ffffff,8.0
17,'40-'45,#fffeff,2.0
17,'45-'50,#ffffff,5.0
17,'50-'55,#e9e0d5,2.0
17,'55-'60,#ffffff,2.0
17,'60-'65,#fffeff,3.0
17,'65-'70,#fffeff,2.0
17,'70-'75,#ffffff,3.0
17,'75-'80,#fffeff,1.0
17,'80-'85,#f0efd5,1.0
17,'85-'90,#ffffff,3.0
17,'90-'95,#e1cdb2,1.0
17,'95-'99,#ffffff,1.0
18,'0-'5,#ffffff,2.0
18,'5-'10,#fffeff,2.0
18,'10-'15,#e7d2b5,2.0
18,'15-'20,#e63536,2.0
18,'20-'25,#ffffff,4.0
18,'25-'30,#c8d6e4,2.0
18,'30-'35,#fffeff,4.0
18,'35-'40,#ffffff,7.0
18,'40-'45,#ffffff,2.0
18,'45-'50,#ffffff,5.0
18,'50-'55,#ffffff,2.0
18,'55-'60,#ffffff,4.0
18,'60-'65,#e4a966,9.0
18,'65-'70,#fffeff,3.0
18,'70-'75,#ffffff,3.0
18,'75-'80,#ffffff,5.0
18,'80-'85,#ffffff,7.0
18,'85-'90,#ffffff,13.0
18,'90-'95,#ffffff,8.0
18,'95-'99,#ffffff,5.0
19,'0-'5,#ffffff,12.0
19,'5-'10,#fefefe,3.0
19,'10-'15,#ffffff,3.0
19,'15-'20,#ffffff,4.0
19,'20-'25,#ffffff,3.0
19,'25-'30,#ffffff,5.0
19,'30-'35,#ffffff,9.0
19,'35-'40,#ffffff,2.0
19,'40-'45,#ffffff,3.0
19,'45-'50,#ffffff,46.0
19,'50-'55,#ffffff,6.0
19,'55-'60,#ffffff,10.0
19,'60-'65,#ffffff,3.0
19,'65-'70,#ffffff,10.0
19,'70-'75,#fffeff,2.0
19,'75-'80,#ffffff,2.0
19,'80-'85,#ffffff,5.0
19,'85-'90,#ffffff,10.0
19,'90-'95,#ffffff,11.0
19,'95-'99,#ffffff,43.0
20,'0-'5,#ffffff,5.0
20,'5-'10,#ffffff,11.0
20,'10-'15,#ffffff,4.0
20,'15-'20,#ffffff,3.0
20,'20-'25,#eeddc4,2.0
20,'25-'30,#f5fcf8,1.0
20,'30-'35,#f1b135,1.0
20,'35-'40,#ffffff,1.0
20,'40-'45,#f2e6a6,1.0
20,'45-'50,#fdf4e9,1.0
20,'50-'55,#f9fbf6,1.0
20,'55-'60,#ffffff,2.0
20,'60-'65,#ffffff,1.0
20,'65-'70,#fdfae9,1.0
20,'70-'75,#fce5d5,1.0
20,'75-'80,#f33b20,1.0
20,'80-'85,#ffffff,1.0
20,'85-'90,#f5f4f0,1.0
20,'90-'95,#ffffff,3.0
20,'95-'99,#e2e3df,1.0
21,'0-'5,#ffffff,274.0
21,'5-'10,#ffffff,3190.0
21,'10-'15,#ffffff,5131.0
21,'15-'20,#ffffff,1435.0
21,'20-'25,,
21,'25-'30,,
21,'30-'35,,
21,'35-'40,,
21,'40-'45,,
21,'45-'50,,
21,'50-'55,,
21,'55-'60,,
21,'60-'65,,
21,'65-'70,,
21,'70-'75,,
21,'75-'80,,
21,'80-'85,,
21,'85-'90,,
21,'90-'95,,
21,'95-'99,,
